embedding	lr	AUC	recall	precision	ACC	AUCPR
word2vec	0.0001	0.834	0.808	0.267	0.677	0.406
word2vec	0.0001	0.824	0.833	0.275	0.684	0.371
word2vec	0.0001	0.824	0.808	0.29	0.71	0.401
word2vec	0.0001	0.826	0.808	0.281	0.698	0.408
word2vec	0.0001	0.822	0.782	0.269	0.686	0.391
word2vec	0.0001	0.829	0.846	0.25	0.639	0.396
word2vec	0.0001	0.826	0.795	0.287	0.708	0.388
word2vec	0.0001	0.82	0.833	0.28	0.691	0.403
word2vec	0.0001	0.832	0.808	0.3	0.722	0.396
word2vec	0.0001	0.834	0.782	0.282	0.704	0.4
