embedding	lr	AUC	recall	precision	ACC	AUCPR
glove	0.0001	0.867	0.774	0.252	0.784	0.529
glove	0.0001	0.872	0.755	0.323	0.844	0.534
glove	0.0001	0.866	0.774	0.293	0.821	0.532
glove	0.0001	0.864	0.736	0.281	0.816	0.519
glove	0.0001	0.869	0.755	0.323	0.844	0.54
glove	0.0001	0.863	0.774	0.259	0.792	0.526
glove	0.0001	0.858	0.736	0.411	0.887	0.511
glove	0.0001	0.854	0.755	0.357	0.863	0.51
glove	0.0001	0.862	0.755	0.364	0.866	0.511
glove	0.0001	0.866	0.774	0.289	0.818	0.534
