embedding	lr	AUC	recall	precision	ACC	AUCPR
glove	0.0001	0.863	0.762	0.561	0.769	0.73
glove	0.0001	0.861	0.75	0.583	0.782	0.72
glove	0.0001	0.867	0.75	0.615	0.8	0.728
glove	0.0001	0.86	0.792	0.532	0.749	0.72
glove	0.0001	0.86	0.75	0.565	0.771	0.723
glove	0.0001	0.863	0.768	0.568	0.774	0.718
glove	0.0001	0.863	0.714	0.612	0.795	0.732
glove	0.0001	0.863	0.81	0.531	0.749	0.717
glove	0.0001	0.858	0.72	0.565	0.769	0.722
glove	0.0001	0.864	0.72	0.596	0.787	0.72
