embedding	lr	AUC	recall	precision	ACC	AUCPR
glove	1e-05	0.77	0.667	0.05	0.705	0.079
glove	1e-05	0.746	0.533	0.063	0.812	0.065
glove	1e-05	0.752	0.6	0.067	0.803	0.058
glove	1e-05	0.731	0.467	0.059	0.821	0.082
glove	1e-05	0.739	0.467	0.062	0.829	0.06
glove	1e-05	0.759	0.6	0.05	0.734	0.069
glove	1e-05	0.754	0.667	0.046	0.681	0.072
glove	1e-05	0.736	0.667	0.048	0.693	0.084
glove	1e-05	0.778	0.733	0.068	0.767	0.114
glove	1e-05	0.747	0.733	0.043	0.624	0.057
