embedding	lr	AUC	recall	precision	ACC	AUCPR
word2vec	0.001	0.971	0.923	0.286	0.959	0.529
word2vec	0.001	0.966	0.769	0.323	0.968	0.446
word2vec	0.001	0.98	0.923	0.214	0.94	0.519
word2vec	0.001	0.981	0.846	0.256	0.954	0.446
word2vec	0.001	0.981	0.923	0.222	0.942	0.539
word2vec	0.001	0.969	0.923	0.24	0.948	0.428
word2vec	0.001	0.98	0.846	0.25	0.953	0.488
word2vec	0.001	0.965	0.846	0.393	0.975	0.577
word2vec	0.001	0.983	0.923	0.25	0.95	0.525
word2vec	0.001	0.981	1.0	0.21	0.934	0.413
