embedding	lr	AUC	recall	precision	ACC	AUCPR
word2vec	0.0001	0.833	0.714	0.325	0.787	0.534
word2vec	0.0001	0.831	0.657	0.346	0.809	0.524
word2vec	0.0001	0.828	0.7	0.295	0.762	0.518
word2vec	0.0001	0.828	0.743	0.267	0.723	0.515
word2vec	0.0001	0.827	0.771	0.284	0.738	0.519
word2vec	0.0001	0.836	0.7	0.325	0.788	0.52
word2vec	0.0001	0.838	0.671	0.336	0.8	0.524
word2vec	0.0001	0.83	0.686	0.336	0.799	0.507
word2vec	0.0001	0.832	0.757	0.286	0.744	0.524
word2vec	0.0001	0.829	0.686	0.338	0.8	0.523
