embedding	lr	AUC	recall	precision	ACC	AUCPR
word2vec	0.001	0.949	0.842	0.225	0.922	0.456
word2vec	0.001	0.945	0.632	0.444	0.97	0.585
word2vec	0.001	0.94	0.737	0.233	0.931	0.485
word2vec	0.001	0.948	0.895	0.274	0.936	0.53
word2vec	0.001	0.942	0.842	0.193	0.905	0.538
word2vec	0.001	0.95	0.737	0.292	0.947	0.495
word2vec	0.001	0.929	0.737	0.197	0.916	0.59
word2vec	0.001	0.919	0.789	0.11	0.831	0.412
word2vec	0.001	0.953	0.842	0.286	0.942	0.56
word2vec	0.001	0.947	0.737	0.368	0.961	0.501
