embedding	lr	AUC	recall	precision	ACC	AUCPR
word2vec	0.0001	0.788	0.25	0.009	0.845	0.018
word2vec	0.0001	0.783	0.25	0.01	0.862	0.018
word2vec	0.0001	0.796	0.25	0.017	0.914	0.02
word2vec	0.0001	0.855	0.5	0.028	0.901	0.031
word2vec	0.0001	0.819	0.5	0.023	0.879	0.028
word2vec	0.0001	0.856	0.25	0.016	0.912	0.027
word2vec	0.0001	0.857	0.5	0.03	0.907	0.047
word2vec	0.0001	0.797	0.25	0.012	0.884	0.021
word2vec	0.0001	0.81	0.5	0.016	0.822	0.045
word2vec	0.0001	0.791	0.5	0.015	0.809	0.02
